n,heapsort.ticks
15000,2521689
18000,3085455
21000,3663510
24000,4251365
27000,4830385
30000,5419867
33000,6010632
36000,6622103
39000,7237979
42000,7849640
45000,8468497
48000,9095915
51000,9713738
54000,10340398
57000,10967644
60000,11587808
63000,12222253
66000,12851405
69000,13488799
72000,14143259
75000,14792091
78000,15445581
81000,16096462
84000,16752473
87000,17403485
90000,18057282
93000,18720648
96000,19384139
99000,20034641
102000,20699179
105000,21368134
108000,22037405
111000,22701028
114000,23362667
117000,24018959
120000,24680872
123000,25340759
126000,26002438
129000,26672241
132000,27352123
135000,28034796
138000,28722340
141000,29399187
144000,30088753
147000,30781606
