n,addstwonumbers.time
0,0
500,67
1000,95
1500,95
2000,92
2500,93
3000,94
3500,98
4000,92
4500,94
5000,97
5500,94
6000,94
6500,94
7000,95
7500,94
8000,93
8500,94
9000,94
9500,94
