n,heapsort.ticks
150000,2614292
180000,3186998
210000,3764468
240000,4345253
270000,4929976
300000,5528054
330000,6129198
360000,6733570
390000,7340038
420000,7949154
450000,8558865
480000,9169547
510000,9782733
540000,10401512
570000,11027995
600000,11656328
630000,12286620
660000,12919364
690000,13553556
720000,14187980
750000,14823157
780000,15459770
810000,16098936
840000,16737228
870000,17376322
900000,18016431
930000,18656751
960000,19299096
990000,19941923
1020000,20584980
1050000,21229663
