n,heapsort.time
15000,16
18000,14
21000,9
24000,11
27000,12
30000,16
33000,16
36000,18
39000,20
42000,20
45000,22
48000,31
51000,26
54000,28
57000,30
60000,29
63000,32
66000,35
69000,38
72000,46
75000,38
78000,44
81000,48
84000,49
87000,51
90000,53
93000,56
96000,58
99000,66
102000,60
105000,68
108000,71
111000,74
114000,76
117000,80
120000,83
123000,93
126000,94
129000,106
132000,109
135000,105
138000,120
141000,107
144000,106
147000,105
