n,list-addlast-notail.time
0,0
500,0
1000,1
1500,2
2000,3
2500,6
3000,10
3500,13
4000,17
4500,20
5000,25
5500,30
6000,37
6500,43
7000,48
7500,56
8000,66
8500,75
9000,81
9500,94
10000,110
10500,113
11000,126
11500,137
12000,150
12500,158
13000,175
13500,187
14000,203
14500,218
