n,heapsort.time
150000,112
180000,140
210000,180
240000,216
270000,252
300000,291
330000,331
360000,368
390000,409
420000,454
450000,503
480000,575
510000,672
540000,716
570000,710
600000,758
630000,858
660000,840
690000,901
720000,1031
750000,1004
780000,1123
810000,1153
840000,1183
870000,1249
900000,1281
930000,1332
960000,1391
990000,1466
1020000,1492
1050000,1649
