n,list-addlast-notail.time
0,0
500,0
1000,1
1500,2
2000,4
2500,6
3000,9
3500,12
4000,17
4500,23
5000,25
5500,30
6000,36
6500,42
7000,52
7500,57
8000,66
8500,75
9000,84
9500,90
10000,102
10500,112
11000,126
11500,133
12000,148
12500,161
13000,174
13500,188
14000,201
14500,216
