n,allocates.time
0,1
500,34
1000,60
1500,77
2000,100
2500,132
3000,182
3500,216
4000,247
4500,235
5000,247
5500,262
6000,290
6500,286
7000,313
7500,360
8000,346
8500,303
9000,321
9500,329
