n,list-addlast-notail.time
0,0
500,1
1000,1
1500,2
2000,3
2500,6
3000,9
3500,14
4000,16
4500,21
5000,28
5500,30
6000,37
6500,42
7000,47
7500,55
8000,66
8500,72
9000,85
9500,93
10000,104
10500,111
11000,123
11500,138
12000,149
12500,165
13000,187
13500,190
14000,203
14500,219
