n,list-addlast-notail.time
0,0
500,1
1000,0
1500,2
2000,4
2500,6
3000,8
3500,12
4000,15
4500,19
5000,24
5500,31
6000,37
6500,45
7000,48
7500,56
8000,66
8500,78
9000,88
9500,93
10000,105
10500,115
11000,126
11500,134
12000,146
12500,158
13000,178
13500,191
14000,205
14500,220
