n,heapsort.time
150000,110
180000,155
210000,180
240000,217
270000,246
300000,295
330000,335
360000,379
390000,421
420000,469
450000,512
480000,604
510000,619
540000,791
570000,700
600000,751
630000,881
660000,916
690000,985
720000,1064
750000,1139
780000,1166
810000,1133
840000,1199
870000,1228
900000,1366
930000,1358
960000,1416
990000,1464
1020000,1618
1050000,1592
