n,heapsort.ticks
150000,7
180000,7
210000,7
240000,13
270000,7
300000,19
330000,25
360000,25
390000,19
420000,25
450000,19
480000,25
510000,7
540000,19
570000,25
600000,19
630000,7
660000,7
690000,13
720000,7
750000,13
780000,7
810000,13
840000,13
870000,7
900000,7
930000,13
960000,7
990000,7
1020000,7
1050000,7
1080000,19
1110000,7
1140000,7
1170000,7
1200000,25
1230000,13
1260000,13
1290000,25
1320000,7
1350000,7
1380000,7
1410000,19
1440000,7
1470000,13
