n,list-addlast-notail.time
0,0
500,0
1000,1
1500,2
2000,4
2500,6
3000,9
3500,13
4000,17
4500,21
5000,26
5500,32
6000,39
6500,46
7000,56
7500,64
8000,72
8500,84
9000,94
9500,105
10000,113
10500,123
11000,142
11500,155
12000,148
12500,159
13000,173
13500,188
14000,202
14500,216
