n,addstwonumbers.time
0,0
500,74
1000,97
1500,104
2000,95
2500,94
3000,95
3500,107
4000,121
4500,97
5000,96
5500,94
6000,94
6500,95
7000,92
7500,92
8000,93
8500,94
9000,94
9500,91
