n,heapsort.ticks
150000,31454889
180000,38381363
210000,45358860
240000,52350968
270000,59427036
300000,66687031
330000,73965180
360000,81274147
390000,88602658
420000,95979513
450000,103347693
480000,110719164
510000,118136451
540000,125614866
570000,133230938
600000,140857759
630000,148509001
660000,156145694
690000,163839945
720000,171538545
750000,179238574
780000,186952152
810000,194713394
840000,202459449
870000,210194828
900000,217938443
930000,225706318
960000,233464148
990000,241212465
1020000,249023977
1050000,256749967
1080000,264725977
1110000,272744050
1140000,280688064
1170000,288691098
1200000,296736898
1230000,304704681
1260000,312737413
1290000,320771361
1320000,328837738
1350000,336896117
1380000,344953761
1410000,353021204
1440000,361062859
1470000,369170714
